town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,growth
Blackstone,0.258,-0.172,11.3,189.5,21,10.4,474.4,,0.1,67.7,50,48.8,871,1658,51.8,5.84,97,5.1,81.9,8.9,5.4,34.3,5.8,2.64,22.7,11.3,6.9,25029,0.04,0.1,14.4,41.6,68.7,,0.531,38.3,40.8,120,20.9,7.3,0.82,0.003,17,138,0.19,,78.7,26.5,,36.1,7.7,6,0.975,8.4,91.6,,,361,16.4,6273,0.87,26.9,5135,-2,2317,small
Blandford,0.015,-0.045,4.9,608.3,,10.6,391.7,,0,285.5,39,57.2,1290,2137,48.1,0.99,21,4.3,206.6,8.1,6.1,37.1,1.7,2.51,20.9,13.9,8.3,26635,0.02,0,8.1,46.7,84.9,,0.286,51.1,40.7,27,,1.3,1.07,0.001,,112,0.086,,83.7,34.1,,35.9,275.5,5,0.957,18.4,81.6,,,509,0,842,0.35,17.7,775,-19,277,negative
Bolton,0.082,-0.114,8.2,134.8,,9.3,458.4,,0.058,173.2,74,61.8,2371,3837,50.5,0.65,25,4.6,82.2,6.1,4.6,9.8,6.3,2.93,12.1,33.4,2.8,63258,-0.04,0,10.2,42.9,104.2,,0.32,27.8,24,180,30.4,4.7,4.12,0.004,58,95,0.167,,91.9,24.9,,40.6,30.5,3.2,0.977,6.5,93.5,,,375,20.2,3519,1.24,20,3762,37,1105,large
Boston,0.745,,12.7,37.6,55.7,9.3,310.7,17.7,0.399,45.3,74,36.3,1334,3515,52.1,8.19,288,13,9.8,4.3,1.5,56.4,16.8,2.26,37.1,21.7,3.8,34410,-0.05,2.8,20.1,30.8,28.1,86.9,-0.255,5.9,35,437,43.8,12.4,-0.23,0.012,6785,291,,17283,65.2,9,-0.014,24.3,0.1,16,0.867,28.2,71.8,83354,0.45,162,83.5,387040,0.74,54.7,293796,67,203018,medium
Bourne,0.139,-0.131,8.6,1322.3,114,9.6,438.3,18.1,0.1,134,31,48.3,1110,2300,48.9,6.64,153,8.5,77.4,1.5,10.7,17.9,6,2.3,29.8,19.5,4.7,27261,-0.09,0.8,21.3,42.9,73.3,11.6,0.29,24.3,25.6,167,22.1,7.3,3.19,0,153,275,0.114,13629,87.6,47.3,-0.138,46.9,0.5,11.3,0.909,20.7,79.3,65670,0.3,378,38.2,13645,0.93,22.3,12119,10,3843,small
Boxborough,0.411,-0.066,7.6,136.1,25.7,8.6,514,19.7,0.338,43.6,68,60.7,2365,3763,48.9,3.94,148,10.6,54.3,4,2.9,6.3,7.2,2.56,25.6,28,0.4,57213,0.07,0,8,42.1,82.3,38.6,-0.297,14.2,23.6,260,31.8,6.9,10.38,0.011,76,96,0.114,15527,75.3,20,-0.169,20,5.9,9.6,0.959,3.8,96.2,77786,0.23,311,2,3582,1.31,23.4,3402,51,1069,large
Boxford,0.002,-0.139,5.3,144.4,16.2,9.4,487.3,16.3,0.001,61.6,47,65.7,2146,2838,50.8,1.75,50,6.6,94.9,11.3,12.5,7.2,3.6,2.96,11.4,26.7,5.4,82523,0.01,0,1.3,44.4,95.5,5.7,0.133,18.2,31.6,135,16.2,4.8,7.6,0.008,140,46,0.09,13335,96.5,26.7,-0.171,51.1,2.5,8.7,0.888,7.4,92.6,71559,0.22,374,0,6030,0.79,15.1,5543,15,1530,small
Boylston,0.149,-0.137,7.1,195.2,43.5,8.9,490.7,17.4,0.082,77.8,40,58.8,1588,2689,52,2.4,65,12.2,85.1,4.6,13.7,19.3,7.3,2.56,22.8,21.4,8.5,45587,-0.05,0,13.8,44.2,82.1,8.3,-0.009,25.9,27.7,212,29.7,7.9,1.56,0.004,42,,0.197,13409,89.4,30.8,-0.003,40.1,50.3,6.3,0.862,17.2,82.8,72001,0.35,375,,3162,0.6,19.4,3304,17,1016,large
Braintree,0.191,-0.099,10.4,139,,9.1,427.2,18.5,0.122,112.2,59,56.1,1424,2497,52.8,7.89,197,7.6,30.1,0.8,2.5,28.1,7.1,2.56,27.4,15.5,11.1,33317,-0.01,0.5,14.5,40.5,56.5,20.5,-0.079,13.4,43.3,206,23.4,8.2,0.54,0.007,100,193,0.105,11564,76.4,17.8,0.037,43.9,2.2,14.5,0.905,7.4,92.6,63652,0.43,337,8.3,25124,0.2,36.3,21795,18,10372,medium
Brewster,0.216,-0.135,6.6,591.6,60.1,11,487.2,18.9,0.178,69,274,45.6,1601,3316,53.7,5.21,173,13.5,86.8,5.1,3.5,7.3,2,2.17,30.2,26.9,2.3,28424,-0.07,0.1,28.5,53.6,65.1,12.9,0.116,19.6,16.2,195,25.3,5.9,8.95,-0.001,121,171,0.153,17748,94.2,64.3,-0.075,55.1,6.1,5.7,0.99,7.1,92.9,72995,0.04,446,15.1,8198,1.26,25.1,7436,35,1444,medium
Bridgewater,0.202,-0.147,8.2,155.8,,9.4,365.3,,0.115,90.8,19,57.8,896,1510,48.5,8.2,124,11.8,53.4,0.4,15.7,20.3,5.9,2.73,20.7,12.8,4.7,25458,0.02,0.6,13.6,37,82,,0.055,20.9,43.8,109,18.3,7.2,1.79,0.004,42,,0.191,,86.8,24.7,,36.8,6.4,8,0.901,15.3,84.7,,,297,,15787,0.87,25.9,14616,8,6437,medium
Brimfield,0.008,-0.09,7.8,526.5,,10.2,453.3,15.1,0,90.6,27,71,1572,2097,50.4,1.43,30,6.4,148.4,2.8,11.7,12.8,5,2.53,23.7,17.9,7.2,30343,0.08,0.8,13.9,41.8,96.5,3,0.191,44.9,28,40,,1.9,2.05,0.001,2,88,0.119,13626,88.5,24.7,-0.057,45.1,94.2,18.9,0.973,6.9,93.1,62653,0.44,449,16.5,2618,0.85,20.8,2314,-6,956,small
Brockton,0.265,-0.23,15.1,57.8,109.9,10.9,365.3,19.9,0.079,124.6,21,61.2,1639,2630,51.9,7.69,202,6.8,26.6,1.7,4.3,41.6,39.5,2.76,26.9,9.2,7.2,17476,-0.01,3.4,11.6,35.2,45.8,75.6,-0.123,11.9,76,179,20.8,6.8,0.49,0.005,167,326,0.171,12999,77.1,16.8,0.084,36.2,0.4,45.8,0.963,15.9,84.1,,0.39,222,114.3,55039,0.37,50.9,38712,54,25799,large
Brookfield,0.102,-0.184,11.5,469,,10.1,442.8,18.2,0.014,49.3,36,61.9,1230,1983,50.5,0.88,17,9,140.3,8.8,27,27,7.4,2.46,25.7,11.2,6.8,23237,-0.17,0.3,17.7,43.9,83.9,7.7,0.315,43.1,37.1,96,11.7,4.8,1.16,0.003,3,,0.084,11386,93.2,26,0.078,45.6,150,26.3,0.961,12.5,87.5,73645,0.26,442,,2261,0.7,20.2,2054,-5,895,small
Brookline,0.703,,11.8,10,30.1,8,338.1,17.7,0.567,39,103,41.4,1364,3288,55,6.76,222,20.7,9.9,16.5,,55.4,6.7,2.27,33.4,40.3,3,58434,-0.23,0.2,16.2,35.7,24.2,42.5,-0.356,4.7,11.3,240,25,7.3,0.02,0.007,2410,135,,16626,90.5,5.1,0.125,31.2,0,5.8,0.866,10.9,89.1,80485,0.56,135,13.7,40353,0.21,48.3,31084,76,17307,medium
Buckland,0.101,-0.014,11,120.9,,10.9,453.2,,0.004,25.8,31,56.5,1014,1578,52.2,,,5.3,,15.8,4,56.1,6.8,2.3,27.9,24.3,13.2,17209,-0.15,0,26.3,41.2,66,,0.605,36.3,24.3,73,10.4,4.6,0.19,0.003,15,,0.059,,80.4,6.8,,39.6,246.3,7.1,0.916,10.5,89.5,,,371,,1330,0.3,27.4,1191,52,440,negative
Burlington,0.073,-0.056,12.7,74.3,,8.7,484.7,18.8,0.064,142.3,122,51.1,1949,3637,51.2,6.8,247,11.1,52.8,1.6,3.4,4.4,7.3,2.64,23.2,18.4,10.7,35843,0.02,0.4,13.9,40.8,64,25.7,0.017,14.5,50.6,253,28.8,7,6.54,0.01,132,253,0.129,15893,63.9,15.3,-0.012,43.9,0.8,6.7,0.942,9.1,90.9,84265,0.47,306,15.6,17123,0.33,29.8,15346,25,7537,medium
Cambridge,0.822,,11.6,24.9,50.8,9.1,327.2,15.9,0.563,91.9,159,28.8,1076,3613,51.4,6.06,219,14,10.6,19.9,3.4,56.8,10.7,2,40.7,39,3.6,47665,-0.02,1.1,25.6,31.2,23.2,61.7,-0.214,6.6,13.4,277,29.3,7.7,-0.13,0.008,4313,290,,27018,61.7,5.7,0.078,23.7,0,5.8,0.824,,96.3,82076,0.45,111,40.3,69357,0.49,57.9,54795,85,34095,large
Canton,0.23,-0.05,9.6,87.7,34.5,8.4,468.6,19.9,0.166,125.6,67,53.1,1477,2681,52.7,6.83,183,7.7,42.2,1.9,,13.9,7.8,2.54,27,19.7,9.5,48744,0,0.4,16.7,41,62.7,24.8,-0.065,14,32.9,171,19.8,6.4,1.89,0.007,152,119,0.171,13153,77.6,17.1,0.053,48.4,2.3,7.6,,9.2,90.9,72299,0.43,352,16,15506,0.28,33,14485,29,5716,large
Carlisle,0.021,-0.13,6.8,129.8,24.5,9.5,540.6,19.8,0.012,56.7,132,67.9,3246,4751,50.2,1.1,52,7,57.9,4.1,13.6,18,5.7,2.86,11.5,43.4,4.2,98084,-0.15,0.2,2.1,44.4,86.5,20.4,-0.237,15.3,26,259,20.5,5.4,4.54,0.011,230,,0.096,16614,98,13,-0.114,39.5,0,4.8,0.868,5.8,94.2,82489,0.37,356,,3933,0.9,25.2,3638,55,908,medium
Carver,0.047,-0.158,8.4,321.5,82.1,9.9,418,19.7,0.021,69,31,69.6,1881,2584,51.3,1.37,36,6,97.9,0,13.9,5.8,6.7,2.68,21.8,11.6,2.5,26596,0.04,0.8,8.7,42.4,86.9,3.8,0.209,36.7,48.6,150,16.4,5.8,6.52,0.006,16,252,0.115,12474,82.4,47.4,-0.09,54,6.9,31.9,0.947,6.2,93.8,67111,0.31,399,23.1,8176,1.09,23.4,6961,-3,2930,small
Charlemont,0.067,-0.049,7.1,221.2,,11.7,462.9,,0.009,63.2,17,57.2,1163,1842,50.6,1.77,33,5.4,165.4,23.7,5.7,45.2,7.3,2.25,30.8,12.5,9.9,18407,-0.14,0,71.1,47,68.8,,0,34.8,30.3,52,,2.8,0.48,0.003,9,,0.038,,86.7,12.6,,34.7,362.2,9.4,0.954,12.5,87.5,,,432,,800,0.39,22.1,743,35,293,negative
Charlton,0.06,-0.142,8.9,460.7,,9.6,432.4,,0.019,159.3,30,53.9,834,1548,50.9,6.63,103,9,112.5,3.1,13.3,11.6,5.5,2.78,16.9,16.3,3.7,31079,-0.01,0.7,10,39.5,98.8,,0.23,35.1,45.8,155,16.8,10,3.14,0.003,14,132,0.166,,86.2,25,,40.6,57.6,4.8,0.94,16.3,83.7,,,374,14.5,9514,1.12,19.5,8122,-5,3391,small
Chatham,0.079,-0.109,4.9,4158.4,32.7,11.6,585.8,14.4,0.06,72.7,231,28.3,1570,4709,52.7,7.72,364,11.6,100.3,21.2,2.2,18.3,1.2,1.95,36.5,26.1,6.6,38178,-0.28,0.7,58.8,56.9,56.5,,0.288,21.9,12.3,279,43.8,5.9,1.49,0,94,275,0.198,17062,92.9,86,,55.5,1.6,8.2,0.987,6.3,93.7,70171,0.19,529,29.1,5603,0.16,20,5075,25,797,medium
Chelmsford,0.241,-0.103,9.5,100.6,17.6,9,504.4,19.9,0.196,97.7,50,47.1,1418,2957,51.6,4.31,127,17.4,52.3,1.5,6.3,14.5,5.6,2.53,25.5,19.4,9.2,41557,0.03,0.4,13.6,43.3,67.5,18.8,0.08,24.3,31.3,164,17.6,5.5,2.59,0.01,156,159,0.144,11751,80.5,17.3,-0.074,46.9,1.8,12.9,0.951,5.5,94.5,66416,0.35,332,7.3,24504,0.4,23.7,22349,27,9051,medium
Chelsea,0.833,,18.6,38.4,110.5,6.3,452.1,21.2,0.285,129,9,56.9,1817,2702,49.1,6.18,167,11.1,14.1,2.6,1.3,67.5,32.9,2.92,29.3,10.4,3.6,14969,0.22,2.6,15.9,32.2,28.6,91.8,-0.029,5.7,61.4,198,28.3,7.3,-0.1,0.013,61,384,,13345,67.6,14.7,0.052,33.6,0,46.6,0.981,29.9,70.1,63751,0.5,282,185.2,14271,0.13,53.4,10524,56,11744,large
Cheshire,0.046,-0.011,8.3,485.3,6.2,10.5,395.4,,0,94.6,7,58.3,839,1331,49.4,0.6,8,7.2,214.2,9.3,22,26,3.9,2.31,26.4,16.9,7.5,24304,0.01,0.3,12.4,46.9,60.3,,0.008,37.1,10.7,22,,1.7,0.6,-0.006,1,34,0.164,,90.5,10.8,,40.5,531.7,18.2,0.951,13.8,86.2,,,482,3.1,2335,0.17,27.4,1946,18,678,small
Chester,0.051,-0.094,7.5,448.8,,10.7,361.3,,0,54.6,20,63.6,1284,1983,48.7,1.45,29,4.7,129.3,22.4,46.3,48.7,0,2.46,25.8,12.1,7,19766,-0.13,0.7,29.9,46.8,82.9,,0.043,54.6,25.8,35,,1.7,0.03,0.001,,,0.125,,92.3,29.9,,30,231.7,10.3,0.935,9.7,90.4,,,476,,891,0.54,19.4,744,-14,323,negative
Chesterfield,0.015,-0.112,2.5,360.1,,11.9,399.3,,0,35.2,22,59.7,1363,2166,49,0.73,16,5.4,331.4,40.9,5.8,32.3,3.4,2.39,23.5,22,7,16279,-0.12,0,16.4,49,83,,0.06,43.4,17.6,33,,1.5,1.46,-0.002,12,57,0.15,,94.5,22.1,,25,410.2,9.1,0.971,9.9,90.1,,,494,0,888,0.66,24.3,822,27,304,negative
Chicopee,0.282,-0.102,11.2,205.4,78.8,10.6,446.7,18.2,0.1,135.2,65,51.2,1298,2100,52.2,6.95,146,17.2,54.9,2,7.2,31.9,8,2.28,34.3,10.2,10.3,17854,-0.01,1.6,16.6,40.2,40.9,38.1,0.114,18.3,33.8,141,23.2,6.7,0.12,0.001,73,302,0.071,12736,77.5,12.8,0,38.2,24,39,0.916,16,84,64213,0.43,280,46.2,35761,0.23,39.6,25795,15,13720,small
Chilmark,0,0.008,3.5,2702.1,45.6,14.8,722.9,,,39.3,,,,,49.3,,,,182.2,0,35.4,16.4,1.2,2.16,31.7,29.4,9.4,56790,-0.08,1.2,,45.8,74.6,,-0.244,39.3,7.5,,45.9,,3.73,0.014,84,,0.166,,97.8,144.3,,34.1,0,0.1,0.929,,94.4,,,907,,902,0.84,44.3,921,74,178,large
Clinton,0.418,-0.138,14.3,119.1,,9.8,449.4,18.2,0.19,28.2,37,50.9,1279,2407,51.1,4.61,111,17.1,69.7,6.6,8.4,47.7,9.2,2.32,33.4,13.1,8.3,24514,0.05,1.4,20.6,38.4,58.7,28.9,0.025,20.7,29.2,178,19.7,7.4,0.11,0.003,51,44,0.11,11273,84.6,17.8,-0.064,34.1,27.1,38.1,0.947,15.6,84.4,72778,0.28,293,6.5,9363,0.24,33.3,7826,23,3652,large
Cohasset,0.115,-0.01,8,869.8,39.5,9.8,406.8,20.6,0.07,83.3,83,44.6,2066,4636,50.9,5.87,272,14,45.2,9.3,2.3,33.8,3,2.74,22.7,26.7,8.1,83416,-0.17,0.1,23.9,43.1,70,5.8,0.188,15.1,18.7,262,26.4,5.7,1.02,0.007,52,,0.12,13524,93,32.7,0.08,55.9,2.6,4.8,0.837,6.2,93.8,71360,0.3,386,,5829,0.13,21.4,5669,39,1446,large
Colrain,0.062,-0.015,12,287.3,,11.2,428.5,,0,68.2,28,60.8,1080,1580,48.3,1.27,20,6.3,187.9,12,37.9,39.7,7.5,2.45,26.5,11.3,13.2,24745,0.16,0.6,18,44.4,73.6,,0.245,39.5,30.7,41,,2.6,0.08,0.003,41,,0.083,,88,23.9,,37,686.2,8.1,0.9,6.9,93.1,,,458,,1185,0.22,23.9,1007,36,346,negative
Concord,0.161,-0.068,6.2,74.7,,8.8,466.7,17.1,0.12,115.6,115,60.4,2477,4058,49.3,4.77,193,4.4,34.7,14.1,2.9,28.5,4.2,2.46,27.2,47.4,9.1,103066,-0.24,0.2,14.7,46.5,64.4,21,0.105,10.1,12.2,219,23.1,5.4,1.05,0.01,836,94,0.102,16893,90.7,14.5,0.141,58.8,1.7,4.8,0.824,12.6,87.4,83291,0.3,268,7.2,13012,0.33,34.6,12311,65,4182,small
Conway,0.062,-0.036,7.4,258.3,,9.9,436,17.6,0,29,11,58.8,1412,2392,51.3,0.8,19,10.4,191.8,15.8,3.2,35,7.2,2.46,23.5,22.5,9.4,34991,-0.02,0,10.5,46.5,87.6,4.4,0.122,29,18.2,55,,2.3,1.17,0.003,29,,0.048,12692,91.2,20.6,0.053,27.1,499.2,17.2,0.88,6.4,93.6,52287,0.21,379,,1547,0.93,39.1,1303,55,438,negative
Cummington,0.052,0.014,6.9,229.4,34.5,11.1,498.9,,0,29.8,12,56.8,1102,1697,50,1.03,18,3.8,156.3,11.5,85.5,47.6,4.1,2.16,35.4,17.3,7.1,26185,0.07,1.1,11.5,43.7,72.2,,0.275,58.5,17.3,21,,1.2,0.41,-0.002,22,,0.134,,88.5,14.9,,31.5,413.8,10.2,0.778,14.6,85.4,,,430,,679,0.45,22.9,591,42,175,negative
Dalton,0.144,-0.056,7.4,196.9,29.8,9.3,404.7,,0.041,88.5,36,60.8,1200,1776,52,,,9.7,106.8,10.4,2.7,36.9,4.5,2.43,27,13.3,14.9,32234,0.13,1.3,22.2,46.1,49.9,,0.128,24.9,24.1,119,14.7,6.7,0.42,-0.006,33,100,0.14,,83.6,12.9,,45.8,205.5,8.2,0.92,11.7,88.4,,,351,31,4667,0.18,30.4,3821,43,1449,negative
Danvers,0.248,-0.107,8.4,323.1,33,8.9,476.8,19.3,0.152,132.1,73,43.9,1274,2825,53.2,5.58,158,17.5,51.4,5.3,6.6,26.1,3.2,2.42,29.2,13.3,9.3,33474,0.03,0.5,17,43.7,58.9,11.4,0.075,21.6,31.1,207,21.8,7.3,0.69,0.008,51,280,0.158,12923,73.4,23.4,0.003,45.3,0.7,7.7,0.916,12.8,87.2,71015,0.4,349,21.5,18963,0.32,22.8,16907,18,6844,medium
Dartmouth,0.071,-0.138,5.5,481.3,46.7,10.3,425.9,20.5,0.025,98.9,34,58.5,1088,1839,49.7,,,8.2,74.2,1.8,6.3,18.8,6.8,2.54,23.8,11.6,9.2,26800,-0.08,0.4,13.2,43.2,69.4,9.4,0.288,25.3,42.4,158,21.9,8.6,2.06,0.001,187,295,0.117,11220,83.3,38.2,-0.076,53.7,1.5,16.3,0.915,9.7,90.3,66531,0.34,316,21.2,24104,0.77,36.9,17884,11,8189,negative
Dedham,0.154,-0.088,10.6,89.4,28.9,9.2,451.6,16.8,0.066,104.7,,,,,51.6,,,,38.1,2,7.1,38.2,5.7,2.45,28.7,19.5,12.6,41722,0.04,0.8,19.8,43,54.7,24.1,-0.159,14.8,32.4,,22.9,,0.34,0.007,290,248,0.141,16040,79.3,16.5,-0.011,46,2,6.6,0.845,13.2,86.8,69546,0.47,291,7.6,17899,0.11,35.8,15867,38,6918,small
Deerfield,0.169,-0.07,7.6,269.3,95.3,10.4,490.3,19.4,0.056,128,40,63.3,1365,2142,51.1,,,10.9,121.2,3.9,3.5,35.6,6.4,2.33,26.3,25.2,9.8,34119,-0.13,0.6,31.2,45.3,72.2,9.3,-0.057,22.6,18.5,130,15.5,6.1,0.66,0.003,23,162,0.09,12477,74.9,18.9,-0.083,40.6,305.4,14.2,0.867,26.6,73.4,55015,0.27,360,15.4,3676,0.51,30.3,3350,47,1271,negative
Dennis,0.143,-0.111,8.2,1217,146.5,10.9,554.3,,0.1,160,193,36.9,1152,2735,53.6,9.1,249,11.3,,3.5,9.5,11.6,2.2,2.03,36.4,20.9,3.7,26477,-0.01,1.3,45.8,52.5,51.5,,0.05,20.6,19.2,268,34.3,9.8,4.69,-0.001,134,369,0.068,,92.2,66.6,,50.8,7.7,1.3,0.938,2.7,97.3,,,436,34.2,11762,0.36,24.3,10321,22,1919,small
Dighton,0.07,-0.156,7.8,388.1,21.1,10.5,451.6,,0.012,44.5,30,59.8,1221,2040,49.9,4.66,95,8.3,113.6,4.2,14.5,28.8,5.4,2.83,19.1,12.2,13.7,28019,0,0.3,8.5,42.6,89.9,,0.319,38,56.6,139,14,6.8,1.4,0.001,20,68,0.12,,85.8,53.1,,44.7,0,4.3,0.948,10.2,89.8,,,414,14,4860,0.64,24.3,4724,-7,1957,large
Douglas,0.094,-0.135,12.2,527.7,30.6,9.9,430.8,20.9,0.034,71.5,25,53.5,1474,2755,50.2,0.98,27,16.9,116.4,3.5,18.4,24.3,4.9,2.82,16.9,13.5,2.8,30346,-0.02,0.6,11.8,39.3,103,5.4,0.439,41.8,36.7,174,23.5,6.3,2.23,0.003,5,59,0.275,10070,93.8,31.3,-0.058,32.8,81.2,38.3,0.945,8.5,91.5,59762,0.42,402,12.8,6194,1.8,18.7,5534,-9,2438,medium
Dover,0.056,-0.12,7,103.8,14.2,9.4,468.4,18.3,0.034,81.1,155,60.5,3009,4858,50.3,1.53,74,9.7,64.7,3.6,1.4,22.7,5.6,2.99,13.2,27.9,11.1,206084,-0.15,0,3.6,43.5,77.8,17.4,0.646,14.1,21.4,310,30.2,6.4,2.25,0.007,137,79,0.143,18313,97.3,17.9,-0.097,53,0,4.5,0.806,12.2,87.8,92765,0.28,375,5.3,4184,0.32,18.7,4023,40,941,medium
Dracut,0.242,-0.105,10.9,119.5,4,9.5,467.5,21.8,0.174,72.7,30,57.1,1073,1874,51,5.33,100,7.4,57.1,0,5.4,15.2,6.6,2.69,22.3,13,9,28944,0.03,0.7,18,40.2,64.6,16.3,0.051,25.9,53.1,116,14.5,6.2,2.4,0.011,9,104,0.137,10431,90.2,22.8,-0.076,38.1,1.7,29.6,0.879,6.6,93.4,68284,0.38,351,4.7,20065,0.76,30.6,17845,-0.59,8483,large
Dudley,0.129,-0.189,8.8,296.8,32.4,9.4,427,,0.026,71.6,17,52.2,585,1121,49.9,4.05,45,10.8,86.1,2.6,7.4,26.2,3.4,2.6,22.8,12.1,7.9,23751,-0.05,0.4,17.6,35.8,76.4,,0.237,29.8,35.7,109,14,9.7,1.16,0.003,8,64,0.143,,92,17.8,,38.2,40.3,9.7,0.955,10.8,89.2,,,339,33.8,7145,0.58,26.5,6092,-7,2951,small
Dunstable,0.01,-0.099,3.1,204.5,,9.5,446.4,,0,74.2,54,62.8,1444,2165,49.7,1.19,26,5.3,82.8,3.1,19.2,12.4,3.6,2.99,12.8,22.4,7.6,50766,0.17,0.3,,40.8,98.7,,-0.012,26.1,40.5,249,25,11.5,5.09,0.011,17,,0.079,,96.4,20.1,,32.4,15.6,2.7,0.914,5.3,94.7,,,401,,2230,1.42,18.5,2173,17,694,medium
Duxbury,0.07,-0.144,6.2,841.4,9.9,8.8,396.1,20.7,0.058,57,118,59.6,1921,3126,51.9,5.08,159,6.1,60,8,4.4,17,1.7,2.79,19.5,25.6,5.9,66332,-0.07,0.3,12,43.9,89.2,5,0.218,15.6,23.4,209,23.1,6.7,3.75,0.005,201,62,0.114,11825,95.7,40,-0.038,60.2,2.6,8,0.938,8.7,91.3,66540,0.4,428,2,11470,0.57,19.5,11219,26,2851,medium
East Bridgewater,0.141,-0.081,9.5,178.4,,10.3,410.8,28.2,0.068,97.4,32,46.5,1284,2699,51.2,4.96,134,19.8,92.4,1.4,5.1,25.3,6.9,2.88,19.2,,9.6,27231,0.03,0.7,16.7,41.8,78.6,5.7,-0.095,26.4,64.8,141,16.6,5.2,2.13,0.006,13,157,0.267,10381,89.1,34.7,-0.074,42.6,4.3,27.7,0.934,6.9,93.2,72557,0.44,374,17.2,9623,0.91,23,8767,-2,3610,small
East Brookfield,0.069,-0.135,10.5,797.1,59.4,9.6,443.4,,0.002,89.8,41,46.9,863,1839,49.3,3.19,59,6.7,148.4,0,33.4,32.4,6.4,2.64,18.7,,11.4,26397,-0.11,0.9,32.1,41.1,78.4,,0.056,34.4,41.1,141,18.2,7.7,0.76,0.003,1,167,0.153,,90.9,24.3,,44.5,219.2,7.4,0.954,9,91,,,431,13.6,1479,0.46,19.9,1365,-11,599,small
East Longmeadow,0.034,-0.074,7.8,176.2,41.3,9.8,476,20.2,0.021,138.8,52,43,1625,3728,52.9,1.16,43,12.4,64.6,1.9,5.9,9.7,5.2,2.61,23.7,,9.9,33699,-0.01,0.3,15.9,43.4,64.5,11.9,0.268,19.8,38.5,159,16.4,4.3,2.22,0.001,23,227,0.06,12153,82.6,13.5,-0.043,63.9,33.7,20.4,0.977,8.4,91.6,66723,0.28,339,15.8,11318,0.46,24.7,10122,7,3771,small
Eastham,0.07,-0.086,6.1,1626.3,72.7,10.9,523.6,17.6,0.042,128.7,122,35.7,1451,3576,53.5,8.7,311,16.3,116.7,24.2,2,5.3,1.3,2.08,30.4,30.5,6.4,25769,-0.03,0.6,34.3,56.6,62.4,10.3,0.212,25.4,16.8,307,40.1,8.6,4.76,-0.001,71,252,0.124,19519,95.9,97.3,-0.085,51.6,0,2.1,0.996,7.3,92.7,71920,0.17,552,16,4269,0.72,28.8,4100,42,572,large
Easthampton,0.226,-0.022,10.3,235.5,,9.9,490.4,19,0.066,55.9,31,44.1,921,2052,52.5,6.02,123,19.7,75.3,1.9,11.6,31.3,3.9,2.21,33.9,15.6,9.4,23990,0.01,0.6,20.6,42.8,54.4,15.1,-0.01,24.7,24.4,134,19.8,6.5,0.5,-0.002,49,124,0.215,11382,87,16.3,-0.035,35.1,67.4,27.7,0.908,9.2,90.8,62483,0.3,324,21.7,11921,0.39,34.4,10592,50,4563,small
Easton,0.222,-0.105,9.1,122.4,58.4,9.1,428.6,19.8,0.167,84.8,20,53.1,1432,2686,52.1,4.69,126,17.3,51.4,2.6,4.5,15.7,6.4,2.66,22.4,18.5,4.8,39783,0.02,0.4,13,37.9,79.1,14.4,0.05,18.1,32.8,163,16.8,6.1,2.7,0.001,62,111,0.144,11133,85.7,20.5,-0.012,38.6,4.8,17.4,0.968,8.8,91.2,67837,0.28,332,13.3,15965,0.8,26,14519,22,4854,medium
